theater,name_movie,day,month,time
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,14:30
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,15:00
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,16:00
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,17:00
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,17:30
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,17:50
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,18:30
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,19:30
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,20:00
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,20:20
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,21:00
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,22:00
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,22:30
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,18:50
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,14:00
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,21:30
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,15:40
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,07,10,18:10
CGV Hung Vuong Plaza,AVATAR: THE WAY OF WATER (RERUN) T13,07,10,15:10
CGV Hung Vuong Plaza,AVATAR: THE WAY OF WATER (RERUN) T13,07,10,21:20
CGV Hung Vuong Plaza,AVATAR: THE WAY OF WATER (RERUN) T13,07,10,18:20
CGV Hung Vuong Plaza,AVATAR: THE WAY OF WATER (RERUN) T13,07,10,22:00
CGV Hung Vuong Plaza,LOVE BARISTA K,07,10,15:20
CGV Hung Vuong Plaza,LOVE BARISTA K,07,10,22:50
CGV Hung Vuong Plaza,LOVE BARISTA K,07,10,19:20
CGV Hung Vuong Plaza,LOVE BARISTA K,07,10,21:50
CGV Hung Vuong Plaza,LIFT ME UP T13,07,10,16:30
CGV Hung Vuong Plaza,LIFT ME UP T13,07,10,19:00
CGV Hung Vuong Plaza,LIFT ME UP T13,07,10,15:40
CGV Hung Vuong Plaza,ONE BATTLE AFTER ANOTHER T18,07,10,14:20
CGV Hung Vuong Plaza,ONE BATTLE AFTER ANOTHER T18,07,10,20:40
CGV Hung Vuong Plaza,EXIT 8 T16,07,10,17:30
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,08,10,09:30
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,08,10,10:20
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,08,10,11:00
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,08,10,12:00
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,08,10,12:50
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,08,10,13:30
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,08,10,15:20
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,08,10,16:00
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,08,10,16:50
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,08,10,17:50
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,08,10,14:00
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,08,10,16:20
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,08,10,19:10
CGV Hung Vuong Plaza,TỬ CHIẾN TRÊN KHÔNG T16,08,10,22:10
CGV Hung Vuong Plaza,AVATAR: THE WAY OF WATER (RERUN) T13,08,10,11:30
CGV Hung Vuong Plaza,AVATAR: THE WAY OF WATER (RERUN) T13,08,10,15:10
CGV Hung Vuong Plaza,AVATAR: THE WAY OF WATER (RERUN) T13,08,10,09:20
CGV Hung Vuong Plaza,AVATAR: THE WAY OF WATER (RERUN) T13,08,10,21:40
CGV Hung Vuong Plaza,LOVE BARISTA K,08,10,09:50
CGV Hung Vuong Plaza,LOVE BARISTA K,08,10,12:10
CGV Hung Vuong Plaza,LOVE BARISTA K,08,10,14:40
